Movie,References
Iron Man (2008),Apocalypse Now (1979)
Iron Man (2008),First Blood (1982)
Iron Man (2008),RoboCop (1987)
Iron Man (2008),Tucker: The Man and His Dream (1988)
Iron Man (2008),RoboCop 2 (1990)
Iron Man (2008),Forrest Gump (1994)
Iron Man (2008),Elf (2003)
Iron Man (2008),V for Vendetta (2005)
Iron Man (2008),Captain America: The First Avenger (2011)
Iron Man 2 (2010),EPCOT (1967)
Iron Man 2 (2010),Silent Running (1972)
Iron Man 2 (2010),Taxi Driver (1976)
Iron Man 2 (2010),Jerry Maguire (1996)
Iron Man 2 (2010),Wonder Boys (2000)
Iron Man 2 (2010),The Incredible Hulk (2008)
Iron Man 2 (2010),Thor (2011)
Iron Man 2 (2010),Captain America: The First Avenger (2011)
Iron Man 2 (2010),The Avengers (2012)
Iron Man 2 (2010),Spider-Man: Homecoming (2017)
Iron Man 2 (2010),Black Panther (2018)
Iron Man 2 (2010),Ant-Man and the Wasp (2018)
Iron Man Three (2013),Harvey (1950)
Iron Man Three (2013),Django (1966)
Iron Man Three (2013),Westworld (1973)
Iron Man Three (2013),Apocalypse Now (1979)
Iron Man Three (2013),A Christmas Story (1983)
Iron Man Three (2013),Commando (1985)
Iron Man Three (2013),Terminator 2: Judgment Day (1991)
Iron Man Three (2013),The Long Kiss Goodnight (1996)
Iron Man Three (2013),The Incredible Hulk (2008)
Iron Man Three (2013),WALL·E (2008)
Iron Man Three (2013),Thor (2011)
Iron Man Three (2013),The Avengers (2012)
The Incredible Hulk (2008),Star Wars: Episode V - The Empire Strikes Back (1980)
The Incredible Hulk (2008),Iron Man (2008)
The Incredible Hulk (2008),Captain America: The First Avenger (2011)
The Avengers (2012),King Kong (1933)
The Avengers (2012),Snow White and the Seven Dwarfs (1937)
The Avengers (2012),The Wizard of Oz (1939)
The Avengers (2012),Alien (1979)
The Avengers (2012),Superman II (1980)
The Avengers (2012),Poltergeist (1982)
The Avengers (2012),RoboCop (1987)
The Avengers (2012),The Silence of the Lambs (1991)
The Avengers (2012),Point Break (1991)
The Avengers (2012),Jurassic Park (1993)
The Avengers (2012),The Lion King (1994)
The Avengers (2012),Reindeer Games (2000)
The Avengers (2012),"Crouching Tiger, Hidden Dragon (2000)"
The Avengers (2012),The Lord of the Rings: The Fellowship of the Ring (2001)
The Avengers (2012),Serenity (2005)
The Avengers (2012),Iron Man (2008)
The Avengers (2012),The Incredible Hulk (2008)
